id,name,followers,popularity,genres,spotify_url,pictureURL
1cNfD0wVetbHjuDsosNCQO,Babs Gonzales,1433.0,9.0,"bebop, hard bop",https://open.spotify.com/artist/1cNfD0wVetbHjuDsosNCQO,https://i.scdn.co/image/ab67616d0000b2735665eb17d0bed52b53328cae
5QjszUQ7ZKxADJFyNXzJ8B,The Carlisles,284.0,1.0,"rockabilly, traditional country",https://open.spotify.com/artist/5QjszUQ7ZKxADJFyNXzJ8B,https://i.scdn.co/image/ab67616d0000b27302cd224d8cc19733c8aa8671
7siPLyFwRFYQkKgWKJ5Sod,The Dandy Warhols,342042.0,54.0,,https://open.spotify.com/artist/7siPLyFwRFYQkKgWKJ5Sod,https://i.scdn.co/image/ab6761610000e5eb918734ca6f0f14803c7d8922
5mkI3ZZVNkFFVv5Yo51YeY,Michael Hutchence,13208.0,24.0,,https://open.spotify.com/artist/5mkI3ZZVNkFFVv5Yo51YeY,https://i.scdn.co/image/cbe2f768fa09bdafb945b85fb80d64864d8b4a0b
0JQH7tNt7Wa4TIYPCEucjq,Milton,354.0,0.0,,https://open.spotify.com/artist/0JQH7tNt7Wa4TIYPCEucjq,https://i.scdn.co/image/ab6761610000e5eb27663f29ba0184589cc41327
3FDulXcaemiaW68DNGLmqN,Hagar the Womb,1527.0,3.0,"deathrock, hardcore punk",https://open.spotify.com/artist/3FDulXcaemiaW68DNGLmqN,https://i.scdn.co/image/ab67616d0000b2731856beda9b1b638bc0154d7e
5oC2VsmM3YWzQpx0dyyeLQ,earth affair feat. morten harket,7998.0,46.0,,https://open.spotify.com/artist/5oC2VsmM3YWzQpx0dyyeLQ,https://i.scdn.co/image/ab6761610000e5ebcc2fcf7fc6f6f43a2c9a176b
3kjuyTCjPG1WMFCiyc5IuB,The Arcade Fire,2356637.0,65.0,"indie rock, baroque pop",https://open.spotify.com/artist/3kjuyTCjPG1WMFCiyc5IuB,https://i.scdn.co/image/ab6761610000e5eba044e15eee771205956dcbf8
2BGRfQgtzikz1pzAD0kaEn,Elvis Costello,590216.0,55.0,power pop,https://open.spotify.com/artist/2BGRfQgtzikz1pzAD0kaEn,https://i.scdn.co/image/ab6761610000e5ebbd95594d3201ab9c7b0349e6
5tX9HVrjmQfDFNxoKiDJSt,Above The Golden State,4167.0,12.0,"christian alternative rock, christian rock, ccm, christian folk",https://open.spotify.com/artist/5tX9HVrjmQfDFNxoKiDJSt,https://i.scdn.co/image/ab67616d0000b2732bd7c7100cd09cd7e6f93d2a
3WFbrhyT01Q4pMQNkurobN,Cantodiscanto,821.0,3.0,,https://open.spotify.com/artist/3WFbrhyT01Q4pMQNkurobN,https://i.scdn.co/image/ab67616d0000b273aef3b6149ec557c8e8343d0a
5PpBa5lqZ9ppWbtqoo6ZNM,Johnny Hollow,31457.0,33.0,dark cabaret,https://open.spotify.com/artist/5PpBa5lqZ9ppWbtqoo6ZNM,https://i.scdn.co/image/ab6761610000e5eb78c42d562effc808222be3cb
0XKPHX4BZDrtSEr3Pd1Q4k,Karen Elson,33916.0,31.0,gothic country,https://open.spotify.com/artist/0XKPHX4BZDrtSEr3Pd1Q4k,https://i.scdn.co/image/ab6761610000e5ebaeb426ab33c4df4f8cc85d3d
3Ymkx0MrMErcAjpnEBCqyJ,Movie Clips,68313.0,38.0,,https://open.spotify.com/artist/3Ymkx0MrMErcAjpnEBCqyJ,https://i.scdn.co/image/ab6761610000e5eb207f440e35e4a75a332d6940
2efzHZrUGhawnSOTpyAHOQ,Deltron 3030,239810.0,44.0,"experimental hip hop, underground hip hop, alternative hip hop",https://open.spotify.com/artist/2efzHZrUGhawnSOTpyAHOQ,https://i.scdn.co/image/ab6761610000e5eba94efd9c009b574902667a0a
25Y86LR3xoaITq1XQ7NqlK,Hurricane Bells,5716.0,31.0,,https://open.spotify.com/artist/25Y86LR3xoaITq1XQ7NqlK,https://i.scdn.co/image/96a6fb2dd30a48ea71f45870d9c527bdd7ff5f98
73SBwOgH6mrS09OyFHdR62,Denise Rosenthal,398914.0,51.0,,https://open.spotify.com/artist/73SBwOgH6mrS09OyFHdR62,https://i.scdn.co/image/ab6761610000e5eb10f36defc3172fdf0d878ad3
2qvK5iLLoDV5mJeAvh5uka,Halo Effect,107527.0,50.0,"melodic death metal, melodic metal, metal, death metal",https://open.spotify.com/artist/2qvK5iLLoDV5mJeAvh5uka,https://i.scdn.co/image/ab6761610000e5eb6c66266f3818c492fad47129
00gh6kmKYOu8xyorRxQm6a,Steve Roach,43572.0,37.0,"space music, ambient, drone, dark ambient, new age",https://open.spotify.com/artist/00gh6kmKYOu8xyorRxQm6a,https://i.scdn.co/image/ab6761610000e5eb58c878cd7922fc25a2ff81ad
